date,keyWords
2019-02-19,"['트위드자켓', '원피스', '핸드메이드코트', '여성경량패딩', '블라우스', '여성핸드메이드코트', '롱패딩', '여성코트', '롱원피스', '제시뉴욕', '모조에스핀코트', '쉬즈미스코트', '여자트렌치코트', '여성숏패딩', '모조에스핀원피스', '여성패딩', '여성체크코트', '써스데이아일랜드원피스', '코트', '여성가디건']"
2019-02-20,"['트위드자켓', '원피스', '핸드메이드코트', '여성경량패딩', '여성핸드메이드코트', '블라우스', '여성코트', '롱원피스', '제시뉴욕', '롱패딩', '여자트렌치코트', '모조에스핀코트', '쉬즈미스코트', '여성숏패딩', '트렌치코트', '여성체크코트', '여성가디건', '코트', '모조에스핀원피스', '모조에스핀']"
2019-02-21,"['트위드자켓', '핸드메이드코트', '원피스', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱원피스', '여성코트', '제시뉴욕', '여자트렌치코트', '롱패딩', '모조에스핀코트', '여성숏패딩', '트렌치코트', '쉬즈미스코트', '여성체크코트', '모조에스핀', '코트', '모조에스핀원피스', '여성가디건']"
2019-02-22,"['트위드자켓', '원피스', '핸드메이드코트', '여성경량패딩', '여성핸드메이드코트', '블라우스', '여자트렌치코트', '롱원피스', '여성코트', '제시뉴욕', '모조에스핀코트', '롱패딩', '트렌치코트', '여성숏패딩', '여성체크코트', '여성가디건', '쉬즈미스코트', '모조에스핀', '코트', '모조에스핀원피스']"
2019-02-23,"['트위드자켓', '원피스', '핸드메이드코트', '여성경량패딩', '여성핸드메이드코트', '블라우스', '여자트렌치코트', '롱원피스', '여성코트', '제시뉴욕', '트렌치코트', '여성가디건', '여성숏패딩', '모조에스핀코트', '여성체크코트', '모조에스핀', '롱패딩', '레노마레이디', '쉬즈미스코트', '코트']"
2019-02-24,"['트위드자켓', '원피스', '여성경량패딩', '핸드메이드코트', '여성핸드메이드코트', '블라우스', '여자트렌치코트', '여성코트', '롱원피스', '트렌치코트', '제시뉴욕', '여성가디건', '레노마레이디', '모조에스핀', '여성숏패딩', '쥬시쥬디', '여성자켓', '코트', '써스데이아일랜드원피스', '여성체크코트']"
2019-02-25,"['트위드자켓', '여성경량패딩', '원피스', '핸드메이드코트', '여성핸드메이드코트', '여자트렌치코트', '블라우스', '롱원피스', '여성코트', '트렌치코트', '제시뉴욕', '여성가디건', '레노마레이디', '모조에스핀', '쥬시쥬디', '여성자켓', '써스데이아일랜드원피스', '코트', '여성숏패딩', '모조에스핀원피스']"
2019-02-26,"['트위드자켓', '여성경량패딩', '원피스', '핸드메이드코트', '여성핸드메이드코트', '여자트렌치코트', '블라우스', '롱원피스', '트렌치코트', '여성코트', '여성가디건', '제시뉴욕', '레노마레이디', '여성자켓', '쥬시쥬디', '모조에스핀', '써스데이아일랜드원피스', '코트', '에고이스트', '여성숏패딩']"
2019-02-27,"['여성경량패딩', '트위드자켓', '원피스', '핸드메이드코트', '여자트렌치코트', '여성핸드메이드코트', '블라우스', '롱원피스', '트렌치코트', '여성코트', '여성가디건', '제시뉴욕', '레노마레이디', '여성자켓', '쥬시쥬디', '모조에스핀', '써스데이아일랜드원피스', '쉬폰원피스', '에고이스트', '써스데이아일랜드']"
2019-02-28,"['여성경량패딩', '트위드자켓', '원피스', '핸드메이드코트', '여자트렌치코트', '여성핸드메이드코트', '블라우스', '롱원피스', '트렌치코트', '여성코트', '여성가디건', '제시뉴욕', '레노마레이디', '여성자켓', '쥬시쥬디', '써스데이아일랜드원피스', '쉬폰원피스', '모조에스핀', '에고이스트', '써스데이아일랜드']"
2019-03-01,"['여성경량패딩', '트위드자켓', '원피스', '핸드메이드코트', '여자트렌치코트', '블라우스', '여성핸드메이드코트', '트렌치코트', '롱원피스', '여성가디건', '여성코트', '제시뉴욕', '여성자켓', '레노마레이디', '써스데이아일랜드원피스', '쉬폰원피스', '쥬시쥬디', '모조에스핀', '써스데이아일랜드', '후드집업']"
2019-03-02,"['여성경량패딩', '트위드자켓', '원피스', '여자트렌치코트', '핸드메이드코트', '블라우스', '트렌치코트', '여성핸드메이드코트', '롱원피스', '여성가디건', '제시뉴욕', '쉬폰원피스', '여성자켓', '레노마레이디', '여성코트', '써스데이아일랜드원피스', '후드집업', '쥬시쥬디', '모조에스핀', '여성야상점퍼']"
